,date,text,sentiment
Bank of Canada raises overnight rate target by 1/4 percentage point to 3 1/2 per cent,2006-01-24,bank canada today announced raising target overnight rate one-quarter one percentage point 1/2 per cent operating band overnight rate correspondingly increased bank rate 3/4 per cent information received since last interest rate announcement december indicates canadian global economies evolving essentially line bank 's expectations set october monetary policy report mpr canadian economy continues adjust global developments associated changes relative prices cpi inflation 2.3 per cent fourth quar,0.19841512
Bank of Canada raises overnight rate target by 1/4 percentage point to 3 1/4 per cent,2003-04-15,bank canada today announced raising target overnight rate one-quarter one percentage point 1/4 per cent operating band overnight rate correspondingly increased bank rate 1/2 per cent since bank 's last interest rate announcement march core total cpi inflation remained well bank 's per cent inflation target measures inflation expectations edged economic growth canada second half early eased earlier vigorous pace domestic demand remained firm employment gains continued result level economic activi,0.4955793
Bank of Canada Statement on the Nomination of Dr. Ben S. Bernanke as Chairman of the Federal Reserve Board of the United States,2005-10-24,bank canada honoured work chairman alan greenspan past years wish every success future endeavours welcome nomination dr. ben s. bernanke new chairman federal reserve board united states bank canada worked closely dr. bernanke capacity professor princeton university member federal reserve board ,0.19319682
Bank of Canada raises overnight rate target by 1/4 percentage point to 3 per cent,2003-03-04,bank canada today announced raising target overnight rate one-quarter one percentage point per cent operating band overnight rate correspondingly increased bank rate 1/4 per cent consumer price data since bank 's last interest rate announcement january indicate core total cpi inflation remain well bank 's per cent inflation target persistent above-target inflation rates past months reflect impact higher-than-expected crude oil natural gas prices also continuing increases auto insurance premiums ,0.6903358
Bank of Canada raises overnight rate target by 1/4 percentage point to 2 3/4 per cent,2002-07-16,bank canada today announced raising target overnight rate one-quarter one percentage point 3/4 per cent operating band overnight rate correspondingly increased bank rate per cent since bank 's last interest rate announcement june economic recovery canada remained stronger expected broadened across sectors momentum reflected continued strong growth employment spending households well pickup investment machinery equipment result economy moving towards full production capacity quickly anticipated c,0.9250029
Bank of Canada Announces 2005 Recipients of Annual Law-Enforcement Award of Excellence for Counterfeit Deterrence,2005-08-25,bank canada pleased announce recipients annual law-enforcement award excellence counterfeit deterrence corporal earle bailey sergeant peter hadley windsor rcmp commercial crime section honoured last night awards gala annual conference canadian association chiefs police held ottawa recipients award excellence selected initiative determination counterfeiting investigation conducted september march investigation resulted seizure approximately 1.6 million counterfeit bank notes dismantling large cou,0.0063924342
Bank of Canada releases 2006 schedule of dates for its policy interest rate announcements,2005-08-11,bank canada today released schedule eight dates announcing decisions key policy interest rate confirmed announcement dates remainder year announcement dates september december wednesday september tuesday october tuesday december tuesday january tuesday march tuesday april wednesday may tuesday july wednesday september tuesday october tuesday december announcements continue made a.m. et ,-0.1048382
Bank of Canada keeps target for the overnight rate at 2 1/2 per cent,2004-12-07,bank canada today announced maintaining target overnight rate 1/2 per cent operating band overnight rate unchanged bank rate remains 3/4 per cent information received since october monetary policy report mpr suggests economic activity canada broadly line bank 's expectations core inflation remaining per cent inflation target although oil prices declined global economic growth prospects moderated slightly u.s. dollar depreciated major floating currencies including canadian dollar exchange rates p,0.49202263
Bank of Canada Issues Upgraded $10 Bank Note,2005-05-18,bank canada today put circulation upgraded bank note enhanced security features design colour theme remembrance peacekeeping upgraded note previously issued note canadian journey series improve security canadian bank notes stay ahead counterfeiters bank continuously researching developing new enhanced security features upgraded note like notes canadian journey series contains metallic holographic stripe watermark portrait windowed colour-shifting thread woven paper see-through number enhanced fl,0.19748513
Bank of Canada announces reallocation of Deputy Governor responsibilities,2005-05-17,bank canada governor david dodge senior deputy governor paul jenkins today announced reallocation responsibilities among several deputy governors effective september responsibilities four deputy governors following governor senior deputy governor four deputy governors comprise governing council body responsible conduct monetary policy information bank 's organizational structure responsibilities september ,-0.0022237785
Bank of Canada announces senior management appointments,2005-05-17,bank canada governor david dodge senior deputy governor paul jenkins behalf board directors today announced number new appointments senior management team effective may new appointments include following information bank 's organizational structure responsibilities september ,-0.009997109
Governor Dodge Discusses How Canada Is Adjusting to Global Economic Forces,2005-05-06,bank canada governor david dodge said today canada 's economy adjusting powerful forces work global economy including emergence china india economic powerhouses large growing current account imbalances united states asia rising commodity prices movements exchange rates including canada 's dollar speech ottawa chamber commerce governor dodge said bank 's monetary policy helping canadian businesses meet challenges take advantage emerging opportunities `` good news many canadian firms making adjust,0.7497833
Bank of Canada Announces Research Fellowship for 2005,2005-03-02,bank canada today announced professor paul beaudry university british columbia recipient bank 's research fellowship professor beaudry internationally recognized work field macroeconomics particularly labour markets business cycles economic growth `` bank canada proud support work professor beaudry research business cycle theory medium-run structural factors affect growth expand discourse conduct monetary policy `` said governor david dodge bank 's fellowship program designed encourage leading-e,0.60627097
Bank of Canada to Upgrade $10 Bank Note,2005-01-20,part ongoing efforts improve security canadian bank notes bank canada issue note upgraded security features beginning may upgraded note security features found canadian journey series notes issued improved features include metallic holographic stripe watermark portrait windowed colour-shifting thread woven paper see-through number enhanced fluorescence ultraviolet lighting features reliable quick easy use designed help canadians protect accepting counterfeit notes illustrations front back note n,0.58547884
Bank of Canada Issues New $50 Bank Note,2004-11-17,bank canada today put circulation canada 's new bank note new note distributed become available across country next weeks `` keep economy functioning efficiently crucial canadians complete confidence bank notes `` said david dodge governor bank canada `` improving security canadian bank notes researching developing new enhanced security features like ones incorporated new note `` new note incorporates several anti-counterfeiting features easy identify quick use include metallic holographic strip,0.79835516
Deputy Governor Mark Carney appointed Senior Associate  Deputy Minister of Finance,2004-10-21,prime minister announced today mark carney deputy governor bank canada appointed senior associate deputy minister finance effective november governor david dodge expressed appreciation mr. carney 's contribution bank 's work domestically internationally said mr. carney would continue contribute public policy new role finance department bank launched recruitment process search candidates deputy governor position ,0.22196344
Bank of Canada raises overnight rate target by 1/4 percentage point to 2 1/2 per cent,2002-06-04,bank canada today announced raising target overnight rate one-quarter one percentage point 1/2 per cent operating band overnight rate correspondingly increased bank rate 3/4 per cent information received since bank 's last interest rate announcement april indicates economic recovery canada somewhat stronger anticipated core inflation april rose 2.2 per cent slightly level projected total cpi inflation 1.7 per cent today 's interest rate increase represents reduction substantial amount monetary s,0.8339067
Bank of Canada Issues New $20 Bank Notes,2004-09-29,bank canada today put circulation canada 's new bank notes new notes distributed become available across country next weeks `` bank note widely used note `` said bank canada governor david dodge `` accounts almost half bank notes circulation encourage canadians become familiar design security features security features new note enable canadians use confidence `` bank issuing new note help fight counterfeiting reminding consumers retailers make habit verifying notes placing wallets cash drawers n,0.2021054
Survey of Foreign Exchange and Derivatives Market Activity in Canada,1998-09-29,summary results survey canadian foreign exchange derivatives markets available survey conducted bank canada april covered activity foreign exchange derivatives markets similar surveys undertaken countries month central banks many countries also releasing results today previous surveys conducted bank canada april march april april april financial institutions canada active wholesale foreign exchange derivatives markets surveyed included financial institutions foreign exchange fixed-income brokers,-0.01858781
Bank of Canada raises target for the overnight rate by 1/4 percentage point to 2 1/4 per cent,2004-09-08,bank canada today announced raising target overnight rate one-quarter one percentage point 1/4 per cent operating band overnight rate correspondingly increased bank rate 1/2 per cent data received since july monetary policy report update indicate canada 's economic growth first half year somewhat stronger bank expecting largely result robust external demand canadian goods services bank judges economy operating close production capacity core inflation 1.9 per cent july consistent assessment total,0.8252252
Canada's new $20 bank note to be unveiled on 25 August 2004,2004-08-12,canada 's new bank note unveiled wednesday august vancouver british columbia new bank note celebrates canadian arts culture features work bill reid one canada 's accomplished artists paul jenkins senior deputy governor bank canada speak unveiling ceremony also participating honourable john mccallum minister national revenue videotape dr. martine reid wife late bill reid jim hart hereditary haida chief artist barbara hislop member bank canada 's board directors number up-and-coming canadian artis,0.080642946
Bank of Canada keeps target for the overnight rate at 2 per cent,2002-03-05,bank canada today announced maintaining target overnight rate per cent operating band overnight rate unchanged bank rate remains 1/4 per cent information received since bank 's last interest rate announcement january indicates overall pace economic activity canada united states stronger expected confirming recovery underway canadian consumer price data january show core inflation 1.8 per cent total cpi inflation 1.3 per cent substantial amount monetary stimulus economy continues support economic,0.42397806
Bank of Canada releases 2005 schedule of dates for its policy interest rate announcements,2004-07-08,bank canada today released schedule eight dates announcing decisions key policy interest rate confirmed announcement dates remainder year announcement dates july december tuesday july wednesday september tuesday october tuesday december tuesday january tuesday march tuesday april wednesday may tuesday july wednesday september tuesday october tuesday december announcements continue made a.m. et ,-0.10149978
Bank of Canada lowers target for the overnight rate by 1/4 percentage point to 2 per cent,2004-04-13,bank canada today announced lowering target overnight rate one-quarter one percentage point per cent operating band overnight rate correspondingly lowered bank rate 1/4 per cent canadian economy continues adjust developments global economy include stronger world demand higher commodity prices realignment world currencies including canadian dollar intensified competition together new trading opportunities coming emerging-market economies developments require shifts activity among sectors create n,-0.6749444
The Bank of Canada Issues New $100 Bank Notes,2004-03-17,bank canada today officially put circulation canada 's new bank notes new notes distributed become available across country next two weeks `` new note incorporates state-of-the-art security features designed combat counterfeiting `` said bank canada governor david dodge four new security features protect bank note counterfeiting metallic holographic stripe watermarked portrait windowed colour-shifting thread see-through number note also incorporates enhanced versions security features canadians ,0.21963525
Bank of Canada Announces Research Fellowship Award for 2004,2004-03-04,bank canada today announced professor rené garcia université de montréal recipient bank 's fellowship award research professor garcia internationally recognized work fields finance macroeconomics financial econometrics governor david dodge said `` bank canada delighted support work professor garcia research relationship investor 's preferences economic fundamentals asset pricing lead better understanding forces driving financial markets `` bank 's fellowship program designed encourage leading-ed,0.727347
Bank of Canada Announces Law Enforcement Award of Excellence for Counterfeiting Deterrence,2004-03-03,bank canada today announced creation law enforcement award excellence presented annually police officer demonstrates outstanding commitment initiative fight bank note counterfeiting inaugural award presented august canadian association chiefs police cacp conference vancouver award recipients receive citation bank 's governor david dodge creation award part bank 's continuing effort improve security canadian bank notes encourage counterfeit detection prevention efforts police agencies businesses ,0.2366162
Bank of Canada lowers target for the overnight rate by 1/4 percentage point to 2 1/4 per cent,2004-03-02,bank canada today announced lowering target overnight rate one-quarter one percentage point 1/4 per cent operating band overnight rate correspondingly lowered bank rate 1/2 per cent information received since bank 's last interest rate announcement broadly consistent economic outlook presented january monetary policy report update expected core total cpi inflation january moved significantly per cent inflation target external demand slightly stronger final domestic demand canada slightly weaker ,-0.8526884
Bank of Canada lowers target for the overnight rate by 1/4 percentage point to 2 1/2 per cent,2004-01-20,bank canada today announced lowering target overnight rate one-quarter one percentage point 1/2 per cent operating band overnight rate correspondingly lowered bank rate 3/4 per cent core total cpi inflation remain per cent inflation target inflation exhibiting volatility underlying price pressures presence spare capacity point core rate inflation likely persist inflation target late despite stronger global economic growth rapid appreciation canadian dollar u.s. currency cut overall growth aggreg,-0.745141
Bank of Canada Announces Adviser Appointment,2004-01-16,bank canada today announced appointment pierre godin position adviser appointment 18-month period mr. godin joining bank mid-march mr. godin currently acting chair quebec securities commission special adviser chair quebec securities commission work focused issues related market structure self-regulation chief staff chief executive officer caisse de dépôt et placement mr. godin worked public service fifteen years matters pertaining strategic planning organizational economic development financial ,0.0052912235
Canada's new $100 bank note to be unveiled on 28 January 2004,2004-01-15,canada 's new bank note unveiled wednesday january halifax first high denomination note canadian journey series unveiled honourable john efford minister natural resources canada david dodge governor bank canada distinguished guests include marc garneau canadian astronaut veteran three space flights president canadian space agency new bank note incorporates new security anti-counterfeiting features well images depicting theme exploration innovation issued beginning wednesday march unveiling cerem,0.15707675
Bank of Canada keeps target for the overnight rate at 2 3/4 per cent,2002-09-04,bank canada today announced maintaining target overnight rate 3/4 per cent operating band overnight rate unchanged bank rate remains per cent consistent bank 's economic outlook july monetary policy report update canadian economy continued strong performance second quarter year summer also core inflation total cpi inflation july broadly line bank 's expectations stronger-than-expected growth domestic demand canada continues buoyed substantial amount monetary stimulus economy however near-term pr,0.8825786
Bank of Canada Governor David Dodge corrects a misstatement,2003-10-29,bank canada governor david dodge corrects misstatement made responding question yesterday relating heard g-20 meeting u.s. growth might affect bank canada projections unintentionally attributed specific projections bank canada chairman federal reserve mr dodge intended say following `` listening mr. greenspan ensuing discussion want emphasize remain comfortable projections bank canada monetary policy report october u.s. growth close per cent third quarter—much stronger anyone earlier anticipated,0.58414173
Bank of Canada lowers target for the overnight rate by 1/4 percentage point to 2 3/4 per cent,2003-09-03,bank canada today announced lowering target overnight rate one-quarter one percentage point 3/4 per cent operating band overnight rate correspondingly lowered bank rate per cent since bank 's last interest rate announcement july inflation pressures continued ease core inflation declined per cent inflation target earlier bank anticipated appears lower inflation persist coming months expected economic growth interrupted second quarter year pace growth third quarter likely remain potential recent w,-0.8624856
Bank of Canada releases 2004 schedule of dates for its policy interest rate announcements,2003-07-24,bank canada today released schedule eight dates announcing decisions key policy interest rate confirmed announcement dates remainder year announcement dates september december wednesday september wednesday october tuesday december tuesday january tuesday march tuesday april tuesday june tuesday july wednesday september tuesday october tuesday december announcements continue made a.m. et ,-0.104251444
Bank of Canada lowers target for the overnight rate by 1/4 percentage point to 3 per cent,2003-07-15,bank canada today announced lowering target overnight rate one-quarter one percentage point per cent operating band overnight rate correspondingly lowered bank rate 1/4 per cent recent months number unanticipated developments bear outlook inflation economic activity canada inflation inflation expectations declined rapidly bank expected near-term domestic economic activity undercut effects severe acute respiratory syndrome sars isolated case bovine spongiform encephalopathy bse canada foreign dem,-0.897913
Bank of Canada keeps target for the overnight rate at 3 1/4 per cent,2003-06-03,bank canada today announced maintaining target overnight rate 1/4 per cent operating band overnight rate unchanged bank rate remains 1/2 per cent data released since bank 's last interest rate announcement indicate core total cpi inflation declined april expected decline due transitory factors notably rebate electricity prices ontario canadian economy continued expand first quarter reflecting firmness domestic demand broadly line expectations april monetary policy report recent developments bear,-0.34612346
Bank of Canada announces Deputy Governor appointments,2003-04-29,board directors bank canada today announced appointment david longworth mark carney deputy governors bank appointments fill vacancies created recent appointment paul jenkins senior deputy governor planned retirement later year deputy governor charles freedman mr. longworth wide-ranging career since joining bank economist assumed increasingly senior responsibilities recently adviser governor prior becoming adviser held various key positions including chief research chief monetary financial analys,-0.02285177
Bank of Canada announces appointment of Paul Jenkins as Senior Deputy Governor,2003-04-09,board directors bank canada today announced pursuant section bank canada act paul jenkins appointed senior deputy governor bank seven-year term appointment effective immediately accordance approval given today governor-in-council board directors expressed thanks previous senior deputy governor malcolm knight excellent leadership years bank wished well new position general manager bank international settlements mr. jenkins brings new role wealth experience major policy areas bank served deputy go,0.32844785
Bank of Canada Announces First Research Fellowship Awards,2003-02-26,bank canada today announced first two fellowship awards fellowship program launched late last year bank 's governing council named professor michael devereux university british columbia professor shouyong shi university toronto first fellowship recipients professor devereux internationally recognized work field international economics one foremost experts area new keynesian open-economy models professor devereux 's current research focuses two areas exchange rates pricing macroeconomic issues em,0.07129625
Senior Deputy Governor Malcolm Knight appointed new General Manager of the Bank for International Settlements,2003-01-13,board directors bank international settlements bis based switzerland announced today appointment malcolm knight new general manager bis beginning april mr. knight senior deputy governor bank canada since following career international monetary fund washington bank canada governor david dodge said `` bank canada sorry lose mr. knight whose excellent leadership senior deputy governor important bank 's success past several years however bank proud malcolm 's abilities expertise recognized internati,-0.15702084
Bank of Canada Announces Retirement of Deputy Governor Charles Freedman,2002-11-22,today bank canada announced deputy governor charles chuck freedman retire bank effective september mr. freedman joined bank appointed adviser governor deputy governor mr. freedman focuses matters related monetary policy financial institutions clearing settlement systems member governing council shares responsibility formulating implementing monetary policy dealing broad organizational strategic issues bank bank 's board directors undertake selection process replace mr. freedman ,-0.032217927
Bank of Canada releases its October Monetary Policy Report,2002-10-23,today bank canada released october monetary policy report discusses economic financial trends context canada 's inflation-control strategy canadian economy expanding strongly far year operating fairly close full production capacity consumer price inflation risen per cent target expected rise year-end high oil prices number relative price movements important monetary policy one-off influences specific prices feed generally price wage inflation canadian economy grown rapidly g-7 countries past yea,0.13216724
Bank of Canada releases 2003 schedule of dates for policy interest rate announcements,2002-08-29,bank canada today released schedule eight dates announcing decisions key policy interest rate time confirmed announcement dates remainder year schedule announcement dates september december wednesday september wednesday october tuesday december tuesday january tuesday march tuesday april tuesday june tuesday july wednesday september wednesday october tuesday december announcements continue made a.m. et `` bank 's fixed schedule announcing policy interest rate decisions continues make important c,0.011466112
Bank of Canada Governor Reviews Progress in Strengthening International Financial Architecture and Resolving Financial Crises,2002-05-14,speech canadian club ottawa canadian institute international affairs bank canada governor david dodge reviewed progress made strengthening international financial architecture preventing global financial crises expediting orderly solutions event crisis mr dodge stressed interconnected world canada 's open economy much affected world events—hence strong interest healthy international financial environment governor said much done develop strategy reduce incidence future crises key elements strateg,0.10751236
Bank of Canada releases its April Monetary Policy Report,2002-04-24,bank canada today released semi-annual monetary policy report discusses economic financial trends context canada 's inflation-control strategy canada 's economic outlook improved significantly since november monetary policy report indeed information fourth quarter last year first quarter indicates recovery canadian economy began sooner considerably stronger anticipated bank projects canadian economy grow 1/2 1/2 per cent annualized rates first half expected continue expand rate production capaci,0.7486476
Bank of Canada raises overnight rate target by 1/4 percentage point to 2 1/4 per cent,2002-04-16,bank canada today announced raising target overnight rate one-quarter one percentage point 1/4 per cent operating band overnight rate correspondingly increased bank rate 1/2 per cent accumulated information since beginning year continues indicate stronger-than-expected economic growth canada united states robust recovery appears underway canada time uncertainties respect continued strength household spending timing strength recovery business fixed investment implications global economy recent de,0.77053285
Canada's new $5 bank note launched on 27 March 2002,2002-03-25,public service announcement canada 's new bank note launched wednesday march montréal second bank note new canadian journey series unveiled honourable paul martin minister finance david dodge governor bank canada distinguished guests including jean béliveau former nhl hockey player montréal canadiens kim st. pierre member gold-medal-winning canadian olympic women 's hockey team salt lake city myriam bédard olympic gold medallist biathlon also attendance unveil note new note available financial i,0.03032838
Bank of Canada lowers key policy interest rate by 1/4 percentage point to 2 per cent,2002-01-15,bank canada today announced lowering target overnight rate one-quarter one percentage point per cent operating band overnight rate correspondingly lowered bank rate 1/4 per cent november monetary policy report bank indicated timing extent recovery economic activity canada year would depend geopolitical developments pace return consumer business confidence normal levels since uncertainty reduced geopolitical developments evolved positively consumer confidence improved however business confidence ,-0.2587094
Bank of Canada lowers key policy interest rate by 1/2 percentage point to 2 1/4 per cent,2001-11-27,bank canada today announced lowering target overnight rate one-half one percentage point 1/4 per cent operating band overnight rate correspondingly lowered bank rate 1/2 per cent recent economic developments canada broadly consistent expectations time last policy interest rate announcement october presented november monetary policy report accordingly bank continues anticipate economy operating excess capacity throughout core inflation slowed 2.2 per cent october thus expected decline 1/2 per cen,-0.92866254
Bank of Canada lowers key policy interest rate by 3/4 percentage point to 2 3/4 per cent,2001-10-23,bank canada today announced lowering target overnight rate three-quarters one percentage point 3/4 per cent operating band overnight rate correspondingly lowered bank rate per cent course summer pronounced weakening trend economic activity became evident canada globally terrorist attacks september appear exacerbated trend consequence levels economic activity canada second half year first half next year economy 's potential output previously expected result persistent downward pressure inflation ,-0.9408558
Survey of foreign exchange and derivatives market activity in Canada,2001-10-09,summary results survey activity canadian foreign exchange derivatives markets conducted bank canada april available similar surveys undertaken countries month central banks many countries also releasing results today worldwide effort coordinated bank international settlements bis issuing press release today summarizes highlights aggregated global turnover surveys conducted bank canada every three years since results surveys shown tables included release financial institutions canada active whole,-0.005203057
Bank of Canada releases 2002 schedule of dates for policy interest rate announcements,2001-10-01,bank canada today released schedule eight dates announcing decisions key policy interest rate schedule announcement dates remainder year announcements continue made a.m. et interest providing timely information bank also announced beginning semi-annual monetary policy report released approximately one week announcement dates april october update report released one week announcement dates january july reports therefore available one week earlier practice past monetary policy report update reflec,-0.023800995
Bank of Canada lowers key policy interest rate by 1/2 percentage point to 3 1/2 per cent,2001-09-17,bank canada today announced lowering target overnight rate one-half one percentage point 1/2 per cent operating band overnight rate correspondingly lowered bank rate 3/4 per cent tragic acts terrorism united states september may pose significant challenges consumer business confidence united states canada elsewhere accordingly bank taking action today underpin confidence provide support economic growth canada bank 's decision act outside normal schedule announcement dates reflects need prompt ac,-0.42643777
Bank of Canada lowers key policy interest rate by 1/4 percentage point to 4 per cent,2001-08-28,bank canada today announced lowering target overnight rate one-quarter one percentage point per cent operating band overnight rate correspondingly lowered bank rate 1/4 per cent today 's action total reduction interest rates bank year amounts 3/4 percentage points economic data released since bank 's last policy interest rate announcement july suggest pace growth canadian economy slower expected part slowing reflects reduced demand abroad canadian manufactured goods primary products important fa,-0.9040705
Bank of Canada lowers key policy interest rate by 1/4 percentage point to 4 1/4 per cent,2001-07-17,bank canada today announced lowering target overnight rate one-quarter one percentage point 1/4 per cent operating band overnight rate correspondingly lowered bank rate 1/2 per cent slower pace economic growth canada largely stemming developments united states continued second quarter result pressures production capacity eased thus reducing inflation pressures core inflation currently little per cent projected move per cent second half year total cpi inflation lately well bank 's per cent inflat,-0.7746742
Bank of Canada lowers key policy rate by 1/4 per cent,2001-05-29,bank canada today announced lowering target overnight rate one-quarter one percentage point 1/2 per cent operating band overnight rate correspondingly lowered bank rate reduced one-quarter one percentage point 3/4 per cent slowing economic growth canada began late continued first part year largely result reduced u.s. demand canadian products time final domestic demand canada continued exhibit underlying momentum overall pace expansion first half year fallen growth rate potential output leading s,-0.8574129
Mark Jewett Appointed General Counsel to the Bank of Canada,2001-05-23,appointment mark jewett general counsel corporate secretary bank canada approved board directors bank mr. jewett work close collaboration governing council bank management financial stability matters join bank june mr. jewett served senior assistant deputy minister public law central agencies portfolio department justice since assistant deputy minister counsel department finance since also legal adviser secretariat cabinet committee economic union held number senior positions departments justice,-0.024198573
Bank releases background information on renewal of the inflation-control target,2001-05-18,bank canada today released document renewal inflation-control target background information provides additional details target arrangements bank plans implement order increase predictability inflation longer term release follows announcement yesterday government canada bank inflation-control target renewed period five years end document points basic framework conducting monetary policy inflation-control target maintained bank strengthening way target arrangements implemented following key elemen,0.02997297
Bank of Canada lowers Bank Rate by 1/4 per cent,2001-04-17,bank canada today announced lowering bank rate one-quarter one percentage point per cent operating band overnight rate correspondingly lowered bank 's target overnight rate reduced 3/4 per cent since late pace economic expansion canada slowed rate economy 's long-run growth potential information received since march bank 's last fixed announcement date confirms slowing broadly line bank 's expectations slowdown largely consequence marked easing pace u.s. economic growth final domestic demand mai,-0.79609615
Bank of Canada lowers Bank Rate to 5 1/4 per cent,2001-03-06,bank canada today announced lowering bank rate one-half one percentage point 1/4 per cent operating band overnight rate correspondingly lowered bank 's target overnight rate reduced per cent since january bank 's last fixed announcement date indications slowdown u.s. economy first half could pronounced expected risk weakening confidence could delay u.s. recovery canada recent information suggests positive underlying momentum economy end somewhat less strong previously estimated pressures product,-0.31282082
Bank of Canada lowers Bank Rate to 5 3/4 per cent,2001-01-23,bank canada today announced lowering bank rate one-quarter one percentage point 3/4 per cent operating band overnight rate correspondingly lowered bank 's target overnight rate reduced 1/2 per cent bank 's action taken light number considerations bearing canadian economic outlook future trend inflation particular slowdown united states recent months underlying momentum canadian economy remained solid bolstered stronger-than-expected growth domestic demand economy operating close full capacity in,0.8737266
"Redesigned $10 Bank Note Launched - New Note Series to Feature Canada's Culture, History and Achievements",2001-01-17,bank canada launched first new series bank notes today themes notes new series entitled canadian journey reflect canadians views culture history achievements said gordon thiessen governor bank canada unveiled note bank deputy prime minister herb gray present event announce bank note themes assist unveiling back redesigned note features theme remembrance peacekeeping represents canada 's participation peacekeeping activities well remembrance canadians participated past wars picture sir john a. ma,0.11886822
Janet Cosier Appointed Chair of Canadian Payments Association,2001-01-15,bank canada announced today janet cosier adviser governor appointed chair board directors canadian payments association mrs. cosier holds degrees york university university windsor certified management accountant joined bank canada served variety functions including comptroller chief accountant well internal auditor appointed adviser also active board committees society management accountants ontario financial management institute canada capital chapter `` 'm looking forward becoming involved cp,0.00013799779
David Dodge Appointed Governor of the Bank of Canada,2000-12-20,board directors bank canada announced today pursuant section bank canada act appointed david dodge governor bank canada seven-year term effective february succeed gordon thiessen announced earlier year would retire bank end term january `` david dodge brings new role distinguished academic credentials exemplary record public service `` said harold mackay chair special committee board directors `` board believes mr dodge superbly equipped lead bank serve bank canadians well `` native toronto mr d,0.51602334
Bank of Canada keeps Bank Rate at 6 per cent,2000-12-05,bank canada today announced maintaining bank rate per cent operating band overnight rate unchanged bank 's target overnight rate remains 3/4 per cent making decision bank took account number factors bearing future trend inflation economic data continue indicate rate expansion output canadian economy 's long-run growth potential external demand canadian products moderated reflecting recent slowing united states economy growth domestic demand remains robust latest information consumer price inflat,-0.1509408
Bank of Canada releases dates for announcing Bank Rate actions,2000-10-30,bank canada today made public dates year announce changes official interest rate uses implement monetary policy last month bank outlined plan adopt new system pre-set `` fixed `` dates announcing changes bank rate replace previous approach could announce adjustment business day year releasing dates bank also confirmed interest rate announcements made tuesdays a.m. et made available calendar showing schedule announcement dates integrated bank 's key monetary policy publications throughout year pr,-0.008748133
Bank of Canada to issue new bank notes,2000-09-26,bank canada issue new series bank notes beginning january enhance security canada 's currency new series bank notes contain sophisticated security features designed thwart counterfeiters although counterfeiting canadian bank notes remains low levels last year cost canadians million dollars last canadian note series introduced years ago significant technological advances bank note production since made possible bank incorporate better security features paper currency comes time affordable high-re,0.6329448
Bank of Canada to adopt fixed dates for announcing Bank Rate changes,2000-09-19,bank canada today outlined details plan adopt system eight `` fixed `` pre-specified dates year announcing changes official interest rate uses implement monetary policy—the rate interest charges short-term loans financial institutions new system replace current approach announcing changes bank rate bank principle announce adjustment business day year releasing details plan bank said adopting fixed announcement dates improve implementation effectiveness canadian monetary policy basic features new,0.052386787
Bank of Canada Raises Target Overnight Rate by ½ Percentage Point to 5¾ Per Cent,2000-05-17,bank canada raised target overnight rate one-half one percentage point per cent operating band overnight rate correspondingly increased bank rate per cent latest monetary policy report released last week bank took note strength demand canada international domestic sources early signs pressures capacity limits need lean trends order preserve low stable inflation environment benefiting canadian economy important source strong growth demand u.s. economy yesterday action u.s. federal reserve raise t,0.80854344
Bank Rate Raised by ¼ Percentage Point to 5½ Per Cent,2000-03-22,bank canada raised bank rate today one percentage point per cent operating band overnight rate correspondingly increased bank 's target overnight rate per cent increase interest rates bank canada follows decision yesterday u.s. federal reserve board raise target level federal funds rate per cent announcing decision federal reserve expressed concern increases demand continue exceed growth u.s. economy 's production capacity posing inflation risks strong u.s. demand benefiting canadian export sect,0.7863806
Bank Rate Raised by 1/4 Percentage Point to 5 1/4 Per Cent,2000-02-03,bank canada raised bank rate today one percentage point per cent operating band overnight rate correspondingly increased bank 's target overnight rate per cent increase interest rates bank follows decision yesterday u.s. federal reserve board raise target level federal funds rate per cent designed keep future trend inflation well inside bank 's per cent target range canadian economy continue expand sustainable way factors behind decision include strong momentum demand canadian economy external d,0.82876176
Bank Rate Raised by ¼ Percentage Point to 5 Per Cent,1999-11-17,bank canada today raised bank rate one percentage point per cent operating band overnight interest rates correspondingly increased bank 's target overnight rate per cent action follows decision yesterday u.s. federal reserve raise target level federal funds rate per cent federal reserve indicated expansion activity u.s. economy continues excess growth potential expressed concern inflation risk given implications u.s. economic financial developments canada together recent evidence robust domestic,0.87314105
Bank Rate Lowered by ¼ Percentage Point to 4¾ Per Cent,1999-05-04,bank canada today lowered bank rate one per cent per cent associated operating band overnight interest rates similarly reduced bank 's target overnight rate per cent centre new operating band situation international financial markets improved considerably recent months however still significant uncertainties facing global economy economic growth united states continues exceed expectations price cost pressures u.s. economy continue contained productivity gains competitive global environment infla,-0.65338475
Bank Rate Lowered by ¼ Percentage Point to 5 Per Cent,1999-03-31,bank canada today lowered bank rate one per cent per cent associated operating band overnight interest rates similarly reduced bank 's target overnight rate per cent centre new operating band today 's interest rate reduction taken context continued improvement global financial markets recent evidence trend rate inflation canada close lower end bank 's target range per cent action bank canada along three similar reductions september october november completely reverses one percentage point increa,-0.87040704
Bank of Canada Welcomes Canada's New Funds Transfer System,1999-01-28,bank canada today welcomed announcement canadian payments association full operation large value transfer system lvts begin february lvts major milestone reduction risk canada 's payment system bring canada line international best practices handling large-value payments lvts real-time system designed handle large-value time-critical payments form core national payment system substantially reduce systemic risk systemic risk refers risk domino spillover effects could arise one financial institutio,-0.47411168
