,date,text
Bank of Canada keeps target for the overnight rate at 4 1/2 per cent,2007-09-05,"The Bank of Canada today announced that it is maintaining its target for the overnight rate at 4 1/2 per cent. The operating band for the overnight rate is unchanged, and the Bank Rate remains at 4 3/4 per cent.
Near-term prospects for economic growth outside North America appear to be slightly stronger than anticipated in the July Monetary Policy Report Update (MPRU), while near-term economic prospects for the United States are weaker than expected. It now seems likely that the adjustment in the U.S. residential housing sector will be more pronounced and protracted, exacerbated by recent developments in financial markets. On balance, this implies weaker demand for Canadian exports than had been expected at the time of the July MPRU.
In Canada, total and core CPI inflation in July, at 2.2 per cent and 2.3 per cent respectively, continued to be above the inflation target but generally in line with the Bank's expectations. The Canadian dollar has also largely traded in the range assumed in the July MPRU. At the same time, the pace of economic growth in the first half of this year was above the Bank's expectations. It now appears that the Canadian economy is operating further above its production potential than was estimated in July. Domestic demand remains robust, buoyed by a continuing strong labour market and higher-than-expected increases in home sales and prices. However, recent developments in financial markets have led to some tightening of credit conditions for Canadian borrowers, which should temper growth in domestic demand.
Against this background, the Bank judges that the current level of the target for the overnight rate is appropriate. However, there are significant upside and downside risks to the outlook for inflation. On the upside, there is a possibility that household demand in Canada could be stronger than anticipated, while on the downside the ongoing adjustment in the U.S. housing sector could be more severe and spill over to the U.S. economy more broadly. In addition, there is uncertainty about the extent and duration of the tightening of credit conditions in Canada and, hence, about the tempering effect this will have on growth in domestic demand.
The Bank will continue to closely monitor evolving economic and financial developments. A full update of the Bank's outlook for growth and inflation, including risks to the projection, will be set out in the Monetary Policy Report, to be published on 18 October 2007.
The Bank of Canada's next scheduled date for announcing the overnight rate target is 16 October 2007."
Deputy Governor Tiff Macklem appointed Associate Deputy Minister of Finance,2007-10-11,"The Prime Minister announced today that Tiff Macklem, Deputy Governor of the Bank of Canada, has been appointed Associate Deputy Minister of Finance, effective 1 November. Mr. Macklem will also serve as Canada's Finance Deputy at the G-7, G-20, and the Financial Stability Forum.
Mr. Macklem will replace Mark Carney in these roles. Mr. Carney was recently appointed the next Governor of the Bank of Canada, effective 1 February 2008 and is joining the Bank of Canada as an Adviser to the Governor effective 1 November.
Bank of Canada Governor David Dodge expressed his appreciation for Mr. Macklem's contribution to the Bank's domestic and international work during his 20-year career at the Bank. ""Tiff will continue to contribute to public policy in his new role at the Department of Finance, and we wish him well,"" Governor Dodge said.
The Bank will undertake a recruitment process for the Deputy Governor position in January."
Mark Carney Appointed Governor of the Bank of Canada,2007-10-04,"The Directors of the Bank of Canada appointed under Section 9 of the Bank of Canada Act today announced that they have appointed Mark Carney as Governor of the Bank of Canada for a seven-year term, effective 1 February 2008. Mr. Carney will succeed David Dodge, who announced earlier this year that he will retire from the Bank at the end of his term on 31 January 2008.
""Mark Carney brings to his new role an outstanding breadth of experience and expertise,"" said Jean-Guy Desjardins, Chair of the Special Committee of the Board of Directors. ""The directors believe that Mr. Carney is superbly equipped to lead the Bank. We are confident that he can take on the challenges of the Governor's role in promoting the economic and financial welfare of Canada over the next seven years.""
Mr. Carney will join the Bank of Canada on 1 November 2007 as Advisor to the Governor, a position he will occupy until he assumes his duties as Governor.
A native of Fort Smith, Northwest Territories, Mr. Carney received a bachelor's degree in economics from Harvard University in 1988. He received a master's degree in economics in 1993, and a doctorate in economics in 1995, both from Oxford University.
Prior to joining the public service, Mr. Carney had a thirteen-year career with Goldman Sachs, eventually becoming a Managing Director of the firm. Mr. Carney was Deputy Governor of the Bank of Canada from August 2003 until his appointment as Senior Associate Deputy Minister of Finance in November 2004. In addition to his domestic responsibilities in the Department of Finance, he also served as Canada's Finance Deputy at the G-7, G-20 and the Financial Stability Forum.
On behalf of the directors, Mr. Desjardins thanked Governor Dodge for his dedicated service to the Bank and to the Canadian public, and wished him well in his future endeavours."
Survey of Foreign Exchange and Derivatives Market Activity in Canada During April 2007,2007-09-25,This document is published as a .pdf format only.
New initiative to involve Canadian high school students in the fight against bank note counterfeiting crimes,2007-09-10,"The Bank of Canada, the Durham District School Board, the Royal Canadian Mounted Police, the Ontario Provincial Police and the Sûreté du Québec are joining forces to promote the new Counterfeit Detection module, a free ready-to-teach kit available to high schools across the country. Their common goal is to raise awareness among Canadian high school students about the detrimental impact of bank note counterfeiting and to involve them in the fight against this harmful criminal activity.
This initiative has been well received by the Canadian education community. ""The Durham District School Board is pleased to partner with the Bank of Canada and all levels of law enforcement to offer students an important and effective learning opportunity on the issue of counterfeit bank notes,"" said Craig Burch, Director of Education at the Durham District School Board, where the program was developed and where the counterfeit detection and prevention unit was first taught in Canada. ""Education professionals are strongly encouraged to contact the Bank of Canada to get more information about this effective program that has drawn an enthusiastic response by both students and educators.""
Many high school students currently work or will pursue a career in the retail sector, where most counterfeit bank notes are passed. Reaching them is a great way to encourage counterfeit prevention.
""The new Counterfeit Detection teaching kit will provide students with the knowledge and skills necessary to authenticate bank notes and help prevent financial losses for themselves or their employers,"" said Pierre Duguay, Deputy Governor of the Bank of Canada. ""These skills will be valued by potential employers and will actively contribute to reducing counterfeiting rates in Canada.""
For more information on the Counterfeit Detection kit, or to order a sample, please contact the Bank of Canada at 1-888-513-8212. For more information on Canadian bank notes and their security features, please visit https://www.bankofcanada.ca/en/banknotes/.
Durham District School Board
 Andrea Pidwerbecki
 905 666-6313"
The Bank of Canada is committed to providing liquidity; restores standard terms for SPRA,2007-09-06,"The Bank of Canada is committed to providing liquidity in support of the efficient functioning of Canada's financial markets.
While money markets continue to experience difficulties, there has been significant progress in the functioning of the overnight market. Since 17 August, the overnight rate has been below the Bank of Canada's target rate and no Special Purchase and Resale Agreements (SPRAs) have been required. Against this background, effective 7 September, the Bank of Canada will restore the standard terms for SPRA, accepting only Government of Canada securities.
The Bank of Canada continues to closely monitor financial market developments and the need for the provision of liquidity."
Bank of Canada Announces the Recipients of its 2007 Law Enforcement Award of Excellence for Counterfeit Deterrence,2007-08-23,"The Bank of Canada is pleased to announce the recipients of its 2007 Law Enforcement Award of Excellence for Counterfeit Deterrence. Acting Detective Brian Wintermute and Detective Tom Warfield, and Constables Steve Poplawski, Scott Besco, and David Bauer of the Peel Regional Police Service in Ontario were honoured yesterday during the annual conference of the Canadian Association of Chiefs of Police in Calgary, Alberta.
The recipients of the Award of Excellence were selected for their relentless efforts and innovative investigative techniques in a major investigation dubbed Project More Money. The tireless work of these officers led to the shutdown of a significant counterfeiting operation, the arrest of 30 suspects on 469 criminal charges, and the seizure of sophisticated printing equipment that was linked to many counterfeit $20 and $50 notes circulated in Canada during 2005 and 2006.
The Bank of Canada's annual Law Enforcement Award of Excellence for Counterfeit Deterrence was established in 2004 to recognize the work of Canadian law-enforcement personnel in deterring and preventing the counterfeiting of Canada's bank notes. ""Counterfeiting erodes confidence in the money we use every day and can undermine the economic health of our country if left unchecked,"" said Gerry Gaetz, Chief of the Bank's Department of Banking Operations. ""That is why the Bank strongly supports Canada's law-enforcement authorities in the fight against counterfeiting and is proud to honour the tremendous contribution of this year's award winners.""
A photo from the awards ceremony is available on Canada NewsWire."
Bank of Canada sees joint commitment by major Bank CEOs on bank-sponsored asset-backed commercial paper (ABCP) as positive step,2007-08-21,"The Bank of Canada continues to monitor the functioning of Canada's financial markets and to make liquidity available as required. The commitment by Canada's major bank CEO's to work together to support the performance and liquidity of the market for bank-sponsored asset-backed commercial paper (ABCP) is a further positive step to help re-establish well functioning money markets in Canada. This commitment is underpinned by the strength of their financial positions, their confidence in the underlying assets, and their ongoing commitment to provide liquidity for bank-sponsored ABCP on maturity."
Bank of Canada welcomes initiatives to support the functioning of financial markets in Canada,2007-08-16,"The Bank of Canada welcomes the initiatives announced today to support the asset-backed commercial paper market in Canada. The agreement announced this morning by major investors and liquidity providers to pursue an orderly restructuring of the Canadian market for structured finance asset-backed commercial paper (third party ABCP) provides an opportunity for parties to work through the many complex issues related to the market for asset-backed commercial paper. The commitment by institutions to take actions in support of an orderly resolution is very helpful. The Bank also welcomes the confirmation by Canada's major chartered banks that they are supporting their own bank-sponsored asset-backed commercial paper programs. Together, these initiatives should help support the functioning of financial markets in Canada."
Bank of Canada Temporarily Expands List of Collateral Eligible for SPRA Transactions,2007-08-15,"As part of its continuing provision of liquidity in support of the efficient  functioning of financial markets, the Bank of Canada announced today that it is  temporarily expanding the list of collateral eligible for use by market  participants in Special Purchase and Resale Agreements (SPRAs).
In addition to accepting Government of Canada securities as collateral for  SPRAs, the Bank will now also accept all securities that are already eligible as  collateral for the Bank's Standing Liquidity Facility (SLF) provided to  participants in the Large Value Transfer System.
The expanded collateral list is effective until further notice.
Collateral used in SPRA transactions will be subject to the same margin  requirements as those applicable in SLF transactions.
A full list of securities eligible as collateral under the Bank's SLF, as  well as the margin requirements that apply, is available at: http://www.bankofcanada.ca/en/financial/securities.pdf
For background information on SPRA transactions, see: https://www.bankofcanada.ca/en/pdf/target_170507.pdf"
Bank of Canada issues statement on provision of liquidity to support the stability and efficient function of financial markets,2007-08-09,"In light of current market conditions, the Bank of Canada would like to assure financial market participants and the public that it will provide liquidity to support the stability of the Canadian financial system and the continued functioning of financial markets.
These activities are part of the Bank's normal operational duties relating to the stability and efficient function of Canada's financial system. The Bank is closely monitoring developments, and will deal with issues as they arise."
Bank of Canada releases 2008 schedule of dates for its policy interest rate announcements,2007-07-25,"The Bank of Canada today released its 2008 schedule of eight dates for announcing decisions on its key policy interest rate, and confirmed the announcement dates for the remainder of this year.
The announcement dates from September 2007 through December 2008 are:
Wednesday, 5 September 2007 Tuesday, 16 October 2007 Tuesday, 4 December 2007
Tuesday, 22 January 2008 Tuesday, 4 March 2008 Tuesday, 22 April 2008 Tuesday, 10 June 2008 Tuesday, 15 July 2008 Wednesday, 3 September 2008 Tuesday, 21 October 2008 Tuesday, 9 December 2008
All announcements will continue to be made at 9:00 (ET)."
Bank of Canada raises overnight rate target by 1/4 percentage point to 4 1/2 per cent,2007-07-10,"The Bank of Canada today announced that it is raising its target for the overnight rate by one-quarter of one percentage point to 4 1/2 per cent. The operating band for the overnight rate is correspondingly increased, and the Bank Rate is now 4 3/4 per cent.
Economic growth and inflation in Canada in the first half of this year have been stronger than expected in the April Monetary Policy Report (MPR). Final domestic demand has remained the key driver of economic growth in Canada, bolstered by firm commodity prices. The Bank judges that the economy is now operating further above its production potential than was projected at the time of the April MPR. Both total CPI and core inflation have been higher than projected in April and are above the 2 per cent inflation target. Longer-term interest rates have increased and the Canadian dollar has appreciated sharply, moving well above the trading range assumed in the last MPR.
The Canadian economy is now projected to grow by 2.5 per cent in 2007, somewhat stronger than was expected in April, and to grow somewhat more slowly in 2008 and 2009 than previously projected. In this new projection, higher interest rates across the yield curve and a higher assumed range for the Canadian dollar of 93 to 95.5 cents U.S. act to moderate growth in 2008 and 2009 to an average of about 2 1/2 per cent. This brings aggregate demand and supply in Canada back into balance in 2009.
Inflation is projected to be slightly higher and more persistent than in the April MPR. However, as excess demand diminishes, total CPI and core inflation should decline to 2 per cent by early 2009.
There are both upside and downside risks to the Bank's inflation projection. The main upside risk is that household demand in Canada could be stronger than expected. The main downside risks are related to the higher Canadian dollar and the ongoing adjustment in the U.S. housing sector. In the context of the Bank's new projection, these risks appear to be roughly balanced.
In line with this outlook, the Bank is raising the target for the overnight rate to 4 1/2 per cent. Some modest further increase in the overnight rate may be required to bring inflation back to the target over the medium term.
An analysis of the Bank's outlook for growth and inflation, including economic and financial developments and risks to the projection, will be set out in the Monetary Policy Report Update, to be published on 12 July 2007.
The Bank of Canada's next scheduled date for announcing the overnight rate target is 5 September 2007."
Bank of Canada keeps target for the overnight rate at 4 1/4 per cent,2006-07-11,"The Bank of Canada today announced that it is maintaining its target for the overnight rate at 4 1/4 per cent. The operating band for the overnight rate is unchanged, and the Bank Rate remains at 4 1/2 per cent.
Overall, the outlook for economic growth and inflation in Canada is largely unchanged from the April Monetary Policy Report (MPR).
The global economic expansion remains robust. Growth in Canada in the first half of 2006 appears to have been a little stronger and the Canadian dollar has traded in a somewhat higher range than was envisaged in the April MPR. As well, there was a further shift in the composition of demand towards consumption and away from exports. Total CPI inflation has remained above the 2 per cent target, mainly because of increases in consumer energy prices, while core inflation moved up to 2 per cent slightly sooner than expected. All factors considered, the Canadian economy is currently judged to be operating just above its production capacity.
In 2007 and 2008, growth is projected to be a little weaker than was set out in the April MPR. The additional strength that has developed in domestic demand is expected to persist into next year, but this should be more than offset by a weaker outlook for net exports, owing primarily to the recent strength of the Canadian dollar. With some anticipated moderation in U.S. growth, combined with past interest rate and exchange rate increases, the Canadian economy is projected to return to its production capacity by the end of 2008. Total CPI inflation is expected to average just over 1 1/2 per cent from mid-2006 to mid-2007, with the reduction in the Goods and Services Tax lowering the inflation rate by 0.6 percentage points over this period. Inflation should then return to the 2 per cent target. Core inflation should remain at about 2 per cent throughout the projection period.
In line with the Bank's largely unchanged outlook, the current level of the target for the overnight rate is judged at this time to be consistent with achieving the inflation target over the medium term. The Bank will monitor global and domestic economic and financial developments, including adjustments in the Canadian economy, relative to its projection. Risks to the projection remain roughly balanced, with a small tilt to the downside later in the projection period related to global imbalances.
Further details of the Bank's outlook for output and inflation will be discussed in the Monetary Policy Report Update, to be released on 13 July 2006.
The Bank of Canada's next scheduled date for announcing the overnight rate target is 6 September 2006."
Bank of Canada Governor David Dodge will not seek second term,2007-04-25,"Governor David Dodge has informed the Bank of Canada's Board of Directors and the Minister of Finance that he will not seek a second term as Governor.
While Governor Dodge's term continues until 31 January 2008, he indicated he is making his plans known well in advance to facilitate the selection and appointment of his successor.
The Board of Directors will shortly form a Special Committee comprised of the independent directors whose mandate is to undertake a recruitment process for the selection of a Governor. Governors of the Bank of Canada are appointed by the independent directors, subject to the approval of the Minister of Finance and the federal Cabinet. The selection process is expected to be completed by the Fall.
Mr. Dodge became Governor of the Bank of Canada in February 2001, following many years in the federal public service, including positions as Deputy Minister of Finance and Deputy Minister of Health."
The Bank of Canada Releases Its Annual Report for 2006,2007-03-29,"The Bank of Canada's Annual Report for 2006 was tabled in the House of Commons today.
Copies of the Report will be available at 12:00 (ET):"
Bank of Canada Announces Research Fellowship for 2007,2007-03-09,"The Bank of Canada today announced that Professor Jean-Marie Dufour of the Université de Montréal is the recipient of the Bank's Research Fellowship for 2007.
Professor Dufour, one of Canada's leading econometricians, has earned international recognition for his work on a wide array of topics relevant to the analysis of macroeconomic and financial data.
""Professor Dufour is a world-class econometrician whose work is improving the way economists use statistical tools and techniques,"" said David Dodge, Governor of the Bank of Canada. ""The Bank is proud to have this exceptional Canadian researcher as a Fellowship recipient.""
The Bank's Fellowship Program is designed to encourage leading-edge research and to develop expertise in Canada in a number of areas critical to the Bank's mandate: macroeconomics, monetary economics, international finance, as well as the economics of financial markets and institutions, including their stability.
With the selection of Professor Dufour, the Bank now has a total of six Fellowship recipients. Previous recipients of the award are: Professor Michael Devereux of the University of British Columbia (2003), Professor Shouyong Shi of the University of Toronto (2003), Professor René Garcia of the Université de Montréal (2004), Professor Paul Beaudry of the University of British Columbia (2005), and Professor Gregor Smith of Queen's University (2006).
The application deadline for the 2008 Fellowship is 15 November 2007. For more information on the Fellowship Program, visit www.bankofcanada.ca/fellowship or call 613 782-8888."
Canadians need to strike back in fight against fraud,2007-03-01,This document is published as a .pdf format only.
Bank of Canada Issues Upgraded $5 Bank Note,2006-11-15,"The Bank of Canada today put into circulation a $5 note with upgraded security features in order to improve the security of Canadian bank notes. The note will be available across Canada within a few weeks.
The design, colour, and illustrations of the upgraded note remain the same as those of the previously issued $5 notes from the Canadian Journey series.
The upgraded $5 note will include the now-familiar set of improved security features found on all other notes in the Canadian Journey series. These features include a metallic holographic stripe, a watermark portrait, a windowed colour-shifting thread woven into the paper, and a see-through number. To increase its durability, the upgraded $5 note is printed on a slightly heavier paper and is coated with a protective varnish.
""The high level of security now found on the $5 bank note will make it harder than ever to counterfeit,"" said RCMP Inspector Barry Baxter, Officer in Charge, Counterfeit and Identity Fraud. ""Nonetheless, it is important that Canadians check their bank notes. Not only to protect themselves, but to make it harder for criminals to pass counterfeit money.""
For more information on Canadian bank notes and their security features, as well as for educational and training materials, visit https://www.bankofcanada.ca/en/banknotes/."
Governor Dodge Looks at the Global Economy and the Implications for Ontario,2006-10-25,"In a speech by video conference to the Ontario Economic Leadership Summit in  Niagara-on-the-Lake, Governor Dodge reviewed the Bank's projections contained in  the Monetary Policy Report, published last week. Global economic growth  is expected to be a little higher than previously anticipated, but a weaker  near-term outlook for the U.S. economy has curbed the near-term prospects for  Canadian exports and growth, the Governor said. The Bank's base-case projection  now calls for average annual GDP growth of 2.8 per cent in 2006, 2.5 per cent in  2007, and a return to 2.8 per cent in 2008.
Governor Dodge pointed out that Ontario's economy will be affected more than  the national average because of the close ties between the province's industrial  base and the two sectors of the U.S. economy that are slowing the most:  automobiles and housing. ""Nevertheless, modest growth in Ontario's economy  should persist,"" Governor Dodge said. ""Seventy per cent of Ontario's economic  activity comes from the service sector, and that sector remains in good  shape.""
The Governor went on to address some of the longer-term structural challenges  facing Ontario, as well as some of the policies that will be important to secure  Ontario's economic future. In particular, the Governor stressed the need for  sound policies on the development of human resources and ongoing improvements in  the province's infrastructure."
Bank of Canada Announces the Recipients of its 2006 Law Enforcement Award of Excellence for Counterfeit Deterrence,2006-08-24,"The Bank of Canada is pleased to announce the recipients of its 2006 Law  Enforcement Award of Excellence for Counterfeit Deterrence. Sergeant Mary  Kostashuk from the RCMP ""E"" Division Commercial Crime Section in British  Columbia and Constable Kurtis Bosnell from the Upper Fraser Valley Regional  Detachment of the RCMP were honoured yesterday during the annual conference of  the Canadian Association of Chiefs of Police in St. John's, Newfoundland and  Labrador.
The recipients of the Award of Excellence were selected for their foresight,  teamwork, and meticulous attention to detail in a counterfeiting investigation  that led to the prosecution and conviction of Ryan Alexander Grozell, the leader  of a significant counterfeit production and distribution ring.
The joint efforts of Sergeant Kostashuk and Constable Bosnell shut down an  operation that had been responsible for producing more than $1.8 million in  counterfeit notes in Western Canada since 2003. Grozell, the target of their  investigation, pleaded guilty to numerous charges related to counterfeiting and  received a substantial jail sentence.
The Bank of Canada's annual Law Enforcement Award of Excellence for  Counterfeit Deterrence was established in 2004 to recognize the work of Canadian  law-enforcement personnel in deterring and preventing the counterfeiting of  Canada's bank notes. ""We believe that it is vital to deter activities that  undermine the confidence of Canadians in their currency,"" said Pierre Duguay,  the Bank's Deputy Governor responsible for the issuance of bank notes. ""By their  efforts, Sergeant Mary Kostashuk and Constable Kurtis Bosnell have made a  significant contribution to the enhancement of that confidence.""
A photo from the awards ceremony is  available on Canada NewsWire."
Bank of Canada releases 2007 schedule of dates for its policy interest rate announcements,2006-07-27,"The Bank of Canada today released its 2007 schedule of eight dates for announcing decisions on its key policy interest rate, and confirmed the announcement dates for the remainder of this year.
The announcement dates from September 2006 through December 2007 are:
Wednesday, 6 September 2006 Tuesday, 17 October 2006 Tuesday, 5 December 2006
Tuesday, 16 January 2007 Tuesday, 6 March 2007 Tuesday, 24 April 2007 Tuesday, 29 May 2007 Tuesday, 10 July 2007 Wednesday, 5 September 2007 Tuesday, 16 October 2007 Tuesday, 4 December 2007
All announcements will continue to be made at 9 a.m. (ET)."
Bank of Canada raises overnight rate target by 1/4 percentage point to 4 1/4 per cent,2006-05-24,"The Bank of Canada today announced that it is raising its target for the overnight rate by one-quarter of one percentage point to 4 1/4 per cent. The operating band for the overnight rate is correspondingly increased, and the Bank Rate is now 4 1/2 per cent.
The strong momentum in the global and Canadian economies has continued, although there has recently been an increased degree of volatility in commodity markets, foreign exchange markets, and financial markets more generally. Recent Canadian data confirm that domestic demand remains solid, and that both CPI and core inflation are evolving largely in line with the Bank's expectations.
With today's increase, the target for the overnight rate is now at a level that is expected to keep the Canadian economy on the base-case path projected in the April Monetary Policy Report (MPR) and to return inflation to the 2 per cent target. The Bank will monitor global and domestic economic and financial developments, including adjustments in the Canadian economy, relative to the projection set out in the MPR. The Bank continues to assess the risks to this projection to be as presented in the MPR.
The Bank of Canada's next scheduled date for announcing the overnight rate target is 11 July 2006. The Monetary Policy Report Update will be published on 13 July 2006."
Bank of Canada raises overnight rate target by 1/4 percentage point to 4 per cent,2006-04-25,"The Bank of Canada today announced that it is raising its target for the overnight rate by one-quarter of one percentage point to 4 per cent. The operating band for the overnight rate is correspondingly increased, and the Bank Rate is now 4 1/4 per cent.
The global economy has been growing at a robust pace, exhibiting a little more momentum than had been anticipated. This global strength and the associated higher prices of many commodities, together with strong domestic demand in Canada, have produced solid growth in the Canadian economy at a pace consistent with the Bank's outlook in the January Monetary Policy Report Update. At the same time, global competition and the past appreciation of the Canadian dollar continue to pose challenges for a number of sectors of the economy. All factors considered, the Canadian economy is judged to be operating at, or just above, its production capacity. High energy prices have kept total CPI inflation in Canada somewhat above the Bank's 2 per cent target. Core inflation has remained below 2 per cent owing to persistent downward pressure from prices of imported consumer goods. Against this backdrop, the Bank decided to raise its target for the overnight rate.
Looking forward, the Bank projects that the Canadian economy will grow by 3.1 per cent in 2006, 3.0 per cent in 2007, and 2.9 per cent in 2008. Total CPI inflation is projected to average close to 2 per cent in 2007 and 2008 (excluding the effect of any changes in the GST). The Bank judges that the risks to its projection are roughly balanced, with a small tilt to the downside later in the projection period.
In line with the Bank's outlook for the Canadian economy, some modest further increase in the policy interest rate may be required to keep aggregate supply and demand in balance and inflation on target over the medium term. The Bank will closely monitor evolving developments in the Canadian economy in light of the cumulative increase in the policy interest rate since last September. A full analysis of economic developments, trends, and risks will be provided in the Monetary Policy Report, to be published on 27 April 2006.
The Bank of Canada's next scheduled date for announcing the overnight rate target is 24 May 2006."
Bank of Canada Reassures Canada Savings Bond Payroll Savings Program Clients Following Successful Fraud Investigation,2006-04-07,"The Bank of Canada today expressed its satisfaction with the successful  investigation by the RCMP and the Ottawa Police Service of an incidence of  fraudulent activity related to a small number of Canada Savings Bond Payroll  Savings Program accounts. The police investigation culminated in arrests  announced today.
""We are confident that the privacy breach was limited to 16 accounts and the  incidence of fraud was limited to 8 of those accounts, totalling approximately  $100,000,"" said Dale Fleck, Chief of the Bank's Debt Administration Office. ""The  affected customers have been contacted and advised of the security breach, and  those who were the victims of fraudulent redemptions have had their accounts  reimbursed."" Canada Savings Bonds are guaranteed by the Government of  Canada.
In December 2005, the Bank of Canada was made aware by its third party  supplier, EDS Canada Inc., of a problem with the accounts of a small number of  Payroll Savings Program customers. The Bank and EDS subsequently informed the  RCMP and took action to protect the integrity of the accounts that may have been  involved. The police undertook an investigation, with the full cooperation of  the Bank and EDS. The owners of potentially affected accounts were contacted.  The Bank informed the Privacy Commissioner about the situation.
""The Bank and EDS are working together to review safeguards to protect the  integrity and security of Canada Savings Bond Payroll Savings Program accounts,""  Mr. Fleck said. ""We have strengthened all procedures and are continuing to see  where further safeguards can be implemented.""
While the Bank of Canada believes the number of exposed accounts is contained  to 16, any concerned customers are advised to review their recent Annual  Statement of Holdings. If any information appears inaccurate, they are advised  to contact the Canada Savings Bond Payroll Savings Program toll-free number at  1-877-899-3599 or visit www.mybonds.gc.ca.
The Bank of Canada serves as fiscal agent for the federal government's retail  debt program. The Bank is accountable for back-office administration and support  of the CSB program, and has outsourced these operations to EDS since September  2001.
See also: Royal Canadian Mounted Police site
James Toccacelli 
EDS Canada Inc.
 
416-814-4637"
Bank of Canada to Upgrade $5 Bank Note,2006-04-04,"The Bank of Canada today announced that it will issue a $5 note with upgraded security features beginning 15 November 2006 as part of its ongoing effort to improve the security of Canadian bank notes.
The upgraded $5 will include the same security features as the other denominations in the Canadian Journey series, making it easier for consumers and cash handlers to detect counterfeits. These features include a metallic holographic stripe, a watermark portrait, a windowed colour-shifting thread woven into the paper, a see-through number, and enhanced fluorescence under ultraviolet lighting. The design, colour, and theme of the upgraded note will remain the same as those on previously issued $5 notes from the Canadian Journey series.
The Bank is collaborating with its partners to ensure the smooth introduction of the upgraded $5 note into circulation. The Bank will provide manufacturers of note-handling equipment—such as automated banking machines (ABMs), change makers, and automated ticket dispensers—with the necessary information to make the required adjustments to their equipment before the notes are circulated.
The Bank will also work closely with financial institutions to replace older $5 notes in circulation with the upgraded $5 notes. This will ensure that Canadians have the more secure notes as quickly as possible to reduce opportunities for counterfeiters. Older versions of the $5 note will, however, remain legal tender.
Consumers and retailers can protect themselves from loss and reduce opportunities for counterfeiters by regularly checking their bank notes. Retailers are the first line of defense in the fight against counterfeiting. By knowing how to quickly and reliably identify genuine bank notes, they can help keep counterfeits out of circulation. In a similar manner, consumers can protect themselves by checking the notes they receive in change.
For more information on Canadian bank notes and their security features, as well as for educational and training materials, visit www.bankofcanada.ca/en/banknotes."
Bank of Canada announces Deputy Governor assignment,2006-03-22,"On behalf of the Board of Directors of the Bank of Canada, Governor David Dodge  today announced that Deputy Governor Sheryl Kennedy will be undertaking a  short-term assignment as Senior Adviser to The Bank of Nova Scotia.
This assignment, beginning 15 May until early October, is of mutual interest  to the Bank of Canada and to The Bank of Nova Scotia (BNS). As Senior Adviser,  Executive Project Office, Ms. Kennedy will provide advice and support to the  development of strategies and priorities for The Bank of Nova Scotia's  international operations. The assignment provides an opportunity for one of the  Bank's senior officers to gain a better understanding of the planning and  operations of a commercial bank, in particular in the international context,  while providing BNS with broad expertise in setting strategic direction. The  arrangements for Ms. Kennedy's assignment have been made in accordance with the  Bank of Canada's Conflict of Interest policy.
As part of its human resource strategy, the Bank regularly seeks  opportunities for senior staff to gain experience in other public and private  sector organizations, as being important to developing knowledge critical to the  continuing success of the Bank.
Sheryl joined the Bank as Deputy Governor in 1994 and has been responsible  for a range of portfolios including research and analysis of the Canadian  economy in support of monetary policy, financial markets, banking operations,  and corporate administration."
Bank of Canada Announces Research Fellowship for 2006,2006-03-10,"The Bank of Canada today announced that Professor Gregor Smith of Queen's University is the recipient of the Bank's Research  Fellowship for 2006.
Professor Smith, one of the leading contributors to the Canadian economics  community, has earned international recognition for his work in empirical  macroeconomics, open-economy macroeconomics, and economic history.
""Professor Smith is an outstanding economist who continues to make an  important contribution to leading-edge research,"" said David Dodge, Governor of  the Bank of Canada. ""The Bank is proud to support an economist of his calibre  who has had such a far-reaching impact as a researcher, teacher, and leader in  the field of economics in Canada.""
The Bank's Fellowship Program is designed to encourage leading-edge research  and to develop expertise in Canada in a number of areas critical to the Bank's  mandate: macroeconomics, monetary economics, international finance, as well as  the economics of financial markets and institutions, including their stability.
In 2003, the first year of the program, the Bank granted Fellowships to  Professor Michael Devereux of the University of British Columbia and Professor  Shouyong Shi of the University of Toronto. Professor René Garcia of the  Université de Montréal was the 2004 Fellowship recipient, and Professor  Paul Beaudry of the University of British Columbia was the 2005 recipient. The  Bank plans to award an additional Fellowship next year, for a total of six  Fellowships by the end of 2007.
For more information on the Fellowship Program, visit www.bankofcanada.ca/fellowship or call 613 782-8888."
Bank of Canada raises overnight rate target by 1/4 percentage point to 3 3/4 per cent,2006-03-07,"The Bank of Canada today announced that it is raising its target for the overnight rate by one-quarter of one percentage point to 3 3/4 per cent. The operating band for the overnight rate is correspondingly increased, and the Bank Rate is now 4 per cent.
Information on the Canadian and global economies received since the January Monetary Policy Report Update has been broadly in line with the Bank's expectations, although the Canadian dollar has recently moved above the range that had been assumed in the Update. Real gross domestic product increased at an annual rate of 2.5 per cent in the fourth quarter of 2005, as the Bank had projected, and both CPI and core inflation have also come in as expected. Overall, indications are that the Canadian economy is continuing to operate at its full production capacity.
Recent data do not alter the Bank's outlook for growth and inflation, including its assessment of risks, as set out in the January Update. Consistent with this view, some modest further increase in the policy interest rate may be required to keep aggregate supply and demand in balance and inflation on target over the medium term. The Bank will provide a full analysis of economic developments, trends, and risks in the next Monetary Policy Report, to be published on 27 April 2006.
The Bank of Canada's next scheduled date for announcing the overnight rate target is 25 April 2006."
